INDEX,FILE,QUOTE_TRANSCRIPTION,LAT,LNG,VERIFICATION_STATUS,COMMENT,SECOND_QUOTE_TRANSCRIPTION,Column
151,10359_26_01_1912_3_XII__31392947.txt,Lake WVinnipeg,49.849753,97.143304,UNVERIFIED,,Lake WVinnipeg,
152,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.849753,97.143304,UNVERIFIED,,Winnipieg,
153,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
154,10359_26_01_1912_3_XII__31392947.txt,Rivertina,,,UNVERIFIED,imaginary,Rivertina,
155,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.849753,97.143304,UNVERIFIED,,Winnipleg,
156,10359_26_01_1912_3_XII__31392947.txt,Canada,61.36053298,-98.18587205,UNVERIFIED,Geographic Region,Canada,
157,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
158,10359_26_01_1912_3_XII__31392947.txt,Winnipeg,49.8844,-97.14704,VERIFIED,,Winnipeg,
159,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Liverpool,-33.9,150.93333,UNVERIFIED,,Liverpool,
161,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Eiirinrbla Station,,,UNVERIFIED,Imaginary,Eiirinrbla Station,
163,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
164,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
165,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
166,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Sydney,-33.86785,151.20732,VERIFIED,,Sydney,
167,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Liverpool,-33.9,150.93333,UNVERIFIED,,Liverpool,
168,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,Bluff Valley,,,UNVERIFIED,Imaginary,Bluff Valley,
