article_id,Placename,Filename,latitude,longitude,State,mean_median_dist,median_median_dist,n_results,winnerPct,searchType,Trove_id
88822252,Sydney,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,6244
88822252,Sydney,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,6244
88822252,Liverpool,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,150.9177778,-33.92305556,NSW,0.007659749,0.008611111,4,75,exact,6244
88822252,Bluff Valley,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,,,None,,,0,,None,6244
88822252,Paramatta,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,137.62583,-34.04874,SA,0,0,1,100,exact,6244
88822252,Sydney,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,6244
88822252,Northern Ranges,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,,,None,,,0,,None,6244
88822252,America,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,,,None,,,0,,None,6244
88822252,Bailey,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,151.0005556,-29.06583333,Ambiguous,4.166357887,4.166357887,2,,exact,6244
88822252,Bailey River,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,,,None,,,0,,None,6244
88822252,Sydney,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,6244
88822252,Morpeth,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,151.6316667,-32.72611111,NSW,0,0,1,100,exact,6244
88822252,Australia,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,6244
88822252,Liverpool,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,150.9177778,-33.92305556,NSW,0.007659749,0.008611111,4,75,exact,6244
88822252,Morpeth,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,151.6316667,-32.72611111,NSW,0,0,1,100,exact,6244
88822252,Sydney,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,6244
88822252,Royal Mail Hotel,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,,,None,,,0,,None,6244
88822252,Patrick 's Plains,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,151.1011111,-32.59833333,NSW,0.066666667,0.05,3,100,fuzzy,6244
88822252,Sydney,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,6244
88822252,Cassilis Station,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,,,None,,,0,,None,6244
88822252,Australia,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,137.13828,-28.61389,Ambiguous,0,0,2,,exact,6244
88822252,Sydney,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,151.2094444,-33.865,NSW,0.002685185,0,5,60,exact,6244
88822252,Glen of Adullam;,6244_21_6_1913_49_XXV_THE GLEN OF ADULLAM._88822252.txt,,,None,,,0,,None,6244
101608984,Harglen,11611_21_4_1911_3_VI__101608984.txt,,,None,,,0,,None,11611
101608984,Harglen,11611_21_4_1911_3_VI__101608984.txt,,,None,,,0,,None,11611
101608984,Warbrook,11611_21_4_1911_3_VI__101608984.txt,132.0207222,-33.87494333,Ambiguous,16.15830297,16.15830297,2,,exact,11611
15305030,Scotland,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,,,None,,,0,,None,9287
15305030,Ashfield,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,132.7176475,-32.84112,Ambiguous,16.5536758,16.64732246,12,,exact,9287
15305030,Burwood,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,145.0881944,-35.4728,Ambiguous,4.265180744,3.434228164,16,,exact,9287
15305030,Drummoyne,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,151.1518056,-33.85597222,NSW,0.000982093,0.000982093,3,66.66666667,exact,9287
15305030,Long Bay,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,148.9555559,-39.2652777,Ambiguous,4.585303291,4.366094364,7,,exact,9287
15305030,Abbotsford,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,152.004715,-24.83222389,QLD,3.615135304,0.009169092,10,50,exact,9287
15305030,Burwood,9287_26_01_1912_3_XXXII_REVULSION._15305030.txt,145.0881944,-35.4728,Ambiguous,4.265180744,3.434228164,16,,exact,9287
45038727,Wyalong,10785_23_10_1908_6_V _SPORT._45038727.txt,147.2261111,-33.92333333,NSW,0.028435445,0.02151555,5,80,exact,10785
45038727,Lake Cowal,10785_23_10_1908_6_V _SPORT._45038727.txt,147.4092106,-33.64416667,NSW,0.070025398,0.050587495,4,100,exact,10785
45038727,Bland Creek,10785_23_10_1908_6_V _SPORT._45038727.txt,147.6677778,-34.165,NSW,0,0,1,100,exact,10785
45038727,Lake Cowal,10785_23_10_1908_6_V _SPORT._45038727.txt,147.4092106,-33.64416667,NSW,0.070025398,0.050587495,4,100,exact,10785
45038727,Bland Creek,10785_23_10_1908_6_V _SPORT._45038727.txt,147.6677778,-34.165,NSW,0,0,1,100,exact,10785
45038727,Lake Cowal,10785_23_10_1908_6_V _SPORT._45038727.txt,147.4092106,-33.64416667,NSW,0.070025398,0.050587495,4,100,exact,10785
45038727,Bland Creek,10785_23_10_1908_6_V _SPORT._45038727.txt,147.6677778,-34.165,NSW,0,0,1,100,exact,10785
45038727,Lake Cowal,10785_23_10_1908_6_V _SPORT._45038727.txt,147.4092106,-33.64416667,NSW,0.070025398,0.050587495,4,100,exact,10785
