,0,1,2,mappify_suburb,mappify_state,mappify_location_lat,mappify_location_lon,partial ratio
289,BURROWYE,LOCATION,18840223-326-198970533 (1 of 2).txt,BURROWYE,VIC,-36.08847915,147.5489903,100
294,OTFORD,LOCATION,18911218-367-103154510 (1 of 1).txt,OTFORD,NSW,-34.21148257,150.995503,100
296,NEWMARKET,LOCATION,18960307-1435-253054605 (1 of 1).txt,NEWMARKET,QLD,-27.43588035,153.0142067,100
297,HAMPTON,LOCATION,18960307-1435-253054605 (1 of 1).txt,HAMPTON,NSW,-33.61501385,150.050737,100
299,WARATAH,LOCATION,18840125-311-115070634 (1 of 1).txt,WARATAH,TAS,-41.44430252,145.5678155,100
300,WOODEND,LOCATION,18660113-460-138044545 (1 of 1).txt,WOODEND,QLD,-27.59871257,152.7516739,100
301,RICHMOND,LOCATION,18920113-1606-260598923 (3 of 4).txt,RICHMOND,SA,-34.94201162,138.5672635,100
306,CASHMERE,LOCATION,18840105-821-160091755 (2 of 2).txt,CASHMERE,QLD,-27.30206817,152.9355939,100
307,FORBES,LOCATION,18840105-821-160091755 (2 of 2).txt,FORBES,NSW,-33.38547409,148.0114451,100
308,NYMAGEE,LOCATION,18840105-821-160091755 (2 of 2).txt,NYMAGEE,NSW,-31.9841118,146.2650557,100
309,BOWNA,LOCATION,18931223-52-71193207 (8 of 19).txt,BOWNA,NSW,-35.94018157,147.0855489,100
311,DAYSDALE,LOCATION,18931223-52-71193207 (8 of 19).txt,DAYSDALE,NSW,-35.66544048,146.4488904,100
312,COROWA,LOCATION,18931223-52-71193207 (8 of 19).txt,COROWA,NSW,-35.97347729,146.3468727,100
313,WEDDERBURN,LOCATION,18931223-52-71193207 (8 of 19).txt,WEDDERBURN,VIC,-36.42908972,143.6565887,100
316,ADELAIDE,LOCATION,18641205-10-8829855 (1 of 1).txt,ADELAIDE,SA,-34.92373985,138.6038839,100
318,HILLSTON,LOCATION,18910106-35-13793246 (5 of 10).txt,HILLSTON,NSW,-33.62669943,145.6384434,100
322,AUBURN,LOCATION,18981223-180-67040858 (1 of 1).txt,AUBURN,QLD,-26.13030279,150.6517194,100
324,WODONGA,LOCATION,18881215-698-161890507 (1 of 3).txt,WODONGA,VIC,-36.11402495,146.8943462,100
327,MELBOURNE,LOCATION,18970424-460-139740732 (1 of 1).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
328,TAMBO,LOCATION,18981217-52-71321501 (6 of 6).txt,TAMBO,QLD,-24.90554282,146.328581,100
329,MOREE,LOCATION,18981217-52-71321501 (6 of 6).txt,MOREE,NSW,-29.25656324,150.129799,100
330,ADELAIDE,LOCATION,18820225-289-91291840 (4 of 4).txt,ADELAIDE,SA,-34.92373985,138.6038839,100
332,MOUNT EGERTON,LOCATION,18620303-67-60509178 (3 of 5).txt,MOUNT EGERTON,VIC,-37.651776,144.090626,100
336,KYABRAM,LOCATION,18911230-180-69701492 (1 of 2).txt,KYABRAM,VIC,-36.34541824,145.0675377,100
337,MELBOURNE,LOCATION,18911230-180-69701492 (1 of 2).txt,MELBOURNE,VIC,-37.81351305,144.9690825,100
339,ADELAIDE,LOCATION,18971230-1530-256758674 (2 of 2).txt,ADELAIDE,SA,-34.92373985,138.6038839,100
341,ADELAIDE,LOCATION,18971230-1530-256758674 (2 of 2).txt,ADELAIDE,SA,-34.92373985,138.6038839,100
342,LISMORE,LOCATION,18950903-225-75262366 (3 of 6).txt,LISMORE,VIC,-37.98092293,143.3228212,100
345,WINGHAM,LOCATION,18950903-225-75262366 (3 of 6).txt,WINGHAM,NSW,-31.8706195,152.3702734,100
346,LOCKWOOD,LOCATION,18571226-346-87977714 (4 of 8).txt,LOCKWOOD,VIC,-36.80861334,144.2150196,100
348,ELPHINSTONE,LOCATION,18940124-346-88941056 (4 of 7).txt,ELPHINSTONE,QLD,-27.95898358,151.9116039,100
349,KINGOWER,LOCATION,18940124-346-88941056 (4 of 7).txt,KINGOWER,VIC,-36.59960986,143.7643089,100
350,SEBASTI,LOCATION,18940124-346-88941056 (4 of 7).txt,SEBASTIAN,VIC,-36.60375271,144.1990007,100
353,BERRIMA,LOCATION,18840117-367-103507189 (1 of 1).txt,BERRIMA,NSW,-34.47472967,150.330976,100
354,BOWRAL,LOCATION,18840117-367-103507189 (1 of 1).txt,BOWRAL,NSW,-34.48395124,150.4316378,100
