0,1,2
Peel,PERSON,18690320-386-106235274.txt
Church,ORGANIZATION,18690320-386-106235274.txt
Church,ORGANIZATION,18690320-386-106235274.txt
Peel,PERSON,18690320-386-106235274.txt
H.,PERSON,18690320-386-106235274.txt
Halls,PERSON,18690320-386-106235274.txt
TASMANIA,LOCATION,18930105-258-78837733.txt
Jffo,PERSON,18930105-258-78837733.txt
Zeehan,LOCATION,18930105-258-78837733.txt
Zeehan,PERSON,18930105-258-78837733.txt
Tho,PERSON,18780308-1190-244524333.txt
Geelong,PERSON,18780308-1190-244524333.txt
Advertiser,PERSON,18780308-1190-244524333.txt
Oonnor,PERSON,18780308-1190-244524333.txt
Birrogurra,LOCATION,18780308-1190-244524333.txt
Winohoisea,PERSON,18780308-1190-244524333.txt
Hamilton,ORGANIZATION,18780308-1190-244524333.txt
Spectator,ORGANIZATION,18780308-1190-244524333.txt
Tamworth,LOCATION,18780308-1190-244524333.txt
Snullivan,LOCATION,18660317-382-105997167.txt
Sullivan,PERSON,18660317-382-105997167.txt
George,PERSON,18660317-382-105997167.txt
Thompson,PERSON,18660317-382-105997167.txt
Barwon,LOCATION,18900823-698-163646802.txt
Charles,PERSON,18900823-698-163646802.txt
Baley,PERSON,18900823-698-163646802.txt
Coola,LOCATION,18900823-698-163646802.txt
Plains,LOCATION,18900823-698-163646802.txt
Fitzgerald,PERSON,18920323-276-77530076.txt
Mount,LOCATION,18920323-276-77530076.txt
Gambler,LOCATION,18920323-276-77530076.txt
Handicap,LOCATION,18920323-276-77530076.txt
Stratndownia,LOCATION,18920323-276-77530076.txt
Higman,PERSON,18820421-30-2986724.txt
Jane,PERSON,18880821-240-84810399.txt
Carlston,PERSON,18880821-240-84810399.txt
George,PERSON,18880821-240-84810399.txt
Now,LOCATION,18880821-240-84810399.txt
South,LOCATION,18880821-240-84810399.txt
Wales,LOCATION,18880821-240-84810399.txt
Jae,PERSON,18880821-240-84810399.txt
Walsh,PERSON,18880821-240-84810399.txt
Owen,PERSON,18880821-240-84810399.txt
Kilday,PERSON,18880821-240-84810399.txt
Georgetown,LOCATION,18880821-240-84810399.txt
Walsh,PERSON,18880821-240-84810399.txt
Kilday,PERSON,18880821-240-84810399.txt
Walsh,PERSON,18880821-240-84810399.txt
Macquarie,LOCATION,18880821-240-84810399.txt
River,LOCATION,18880821-240-84810399.txt
Warren,PERSON,18880821-240-84810399.txt
Mount,LOCATION,18880821-240-84810399.txt
Harris,LOCATION,18880821-240-84810399.txt
Mac,LOCATION,18880821-240-84810399.txt
quario,LOCATION,18880821-240-84810399.txt
River,LOCATION,18880821-240-84810399.txt
Frank,PERSON,18880821-240-84810399.txt
Ellaw,PERSON,18880821-240-84810399.txt
Water,ORGANIZATION,18880821-240-84810399.txt
Police,ORGANIZATION,18880821-240-84810399.txt
Court,ORGANIZATION,18880821-240-84810399.txt
Sydney,LOCATION,18880821-240-84810399.txt
Mount,LOCATION,18970226-10-9392247.txt
Arrowsmith,LOCATION,18970226-10-9392247.txt
Hobart,LOCATION,18970226-10-9392247.txt
Lyell,PERSON,18970226-10-9392247.txt
Marsdon,PERSON,18970226-10-9392247.txt
Linda,PERSON,18970226-10-9392247.txt
Zeehan,LOCATION,18970226-10-9392247.txt
S.,PERSON,18970226-10-9392247.txt
Mainwaring,PERSON,18970226-10-9392247.txt
Zeehan,LOCATION,18970226-10-9392247.txt
Mainwaring,PERSON,18970226-10-9392247.txt
L.,PERSON,18970226-10-9392247.txt
Reid,PERSON,18970226-10-9392247.txt
O'Brien,PERSON,18980208-34-35104934.txt
Maynard,PERSON,18980208-34-35104934.txt
Metropolitan,ORGANIZATION,18980208-34-35104934.txt
Brigade,ORGANIZATION,18980208-34-35104934.txt
J.,PERSON,18980208-34-35104934.txt
